,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15
0,20220429,002415.SZ,41.1,43.13,40.68,42.49,40.87,1.6200000000000045,3.9638,535906.79,2255664.893,0.5862,1.47,40.774,411753.004,41.029,390751.541,40.2753,371219.1093
1,20220428,002415.SZ,41.5,41.87,40.51,40.87,41.5,-0.6300000000000026,-1.5181,337458.23,1386885.704,0.3691,0.94,40.436,365691.242,40.773,354981.805,40.0693,353632.226
2,20220427,002415.SZ,39.01,41.97,38.98,41.5,39.51,1.990000000000002,5.0367,523770.3,2154634.601,0.5729,1.7,40.424,357238.72,40.644,358272.975,40.0247,338495.3
3,20220426,002415.SZ,39.6,40.65,39.28,39.51,39.5,0.00999999999999801,0.0253,296571.34,1185073.76,0.3244,0.95,40.434,308234.268,40.361,342059.76,39.9873,312900.9007
4,20220425,002415.SZ,40.5,40.66,39.5,39.5,40.8,-1.2999999999999972,-3.1863,365058.36,1464276.469,0.3993,0.99,40.836,311244.874,40.24,352600.658,40.1007,304490.6813
5,20220422,002415.SZ,40.75,41.23,40.46,40.8,40.81,-0.010000000000005116,-0.0245,305597.98,1249420.744,0.3343,0.89,41.284,369750.078,40.026,350952.162,40.2007,291314.032
6,20220421,002415.SZ,41.23,41.68,40.31,40.81,41.55,-0.7399999999999949,-1.781,295195.62,1207670.732,0.3229,0.82,41.11,344272.368,39.886,347602.718,40.2273,292303.1087
7,20220420,002415.SZ,41.6,42.59,41.2,41.55,41.52,0.02999999999999403,0.0723,278748.04,1167886.026,0.3049,0.74,40.864,359307.23,39.825,329123.59,40.1733,294864.3987
8,20220419,002415.SZ,41.61,41.82,41.12,41.52,41.74,-0.21999999999999886,-0.5271,311624.37,1292355.484,0.3408,0.79,40.288,375885.252,39.764,315234.217,40.07,290139.9707
9,20220418,002415.SZ,41.0,42.0,40.66,41.74,39.93,1.8100000000000023,4.5329,657584.38,2722416.888,0.7192,1.98,39.644,393956.442,39.733,301113.585,40.0393,283773.2273
10,20220415,002415.SZ,39.2,40.2,38.94,39.93,39.58,0.3500000000000014,0.8843,178209.43,706009.036,0.1949,0.51,38.768,332154.246,39.659,252096.009,40.0547,251441.388
11,20220414,002415.SZ,39.24,39.98,38.33,39.58,38.67,0.9099999999999966,2.3532,370369.93,1455033.911,0.4051,1.24,38.662,350933.068,39.786,266318.479,40.2693,252736.6953
12,20220413,002415.SZ,37.88,39.66,37.62,38.67,38.3,0.37000000000000455,0.9661,361638.15,1405496.575,0.3955,1.42,38.786,298939.95,39.828,262642.983,40.4587,240869.6927
13,20220412,002415.SZ,37.4,38.31,36.39,38.3,37.36,0.9399999999999977,2.5161,401980.32,1494914.991,0.4397,1.93,39.24,254583.182,39.961,247267.33,40.7073,232921.4767
14,20220411,002415.SZ,39.4,39.5,37.06,37.36,39.4,-2.039999999999999,-5.1777,348573.4,1318639.009,0.3813,2.03,39.822,208270.728,40.237,228681.62,41.0453,224219.708
15,20220408,002415.SZ,40.47,40.59,39.0,39.4,40.2,-0.8000000000000043,-1.99,272103.54,1079689.747,0.2976,1.5,40.55,172037.772,40.698,211084.959,41.48,230141.734
16,20220407,002415.SZ,40.7,41.1,40.2,40.2,40.94,-0.7399999999999949,-1.8075,110404.34,448742.656,0.1208,0.49,40.91,181703.89,41.073,203638.509,41.65,246683.5707
17,20220406,002415.SZ,40.78,41.27,40.58,40.94,41.21,-0.2700000000000031,-0.6552,139854.31,571696.128,0.153,0.58,40.87,226346.016,41.295,211834.564,41.7193,260435.598
18,20220401,002415.SZ,40.5,41.65,40.42,41.21,41.0,0.21000000000000085,0.5122,170418.05,703549.254,0.1864,0.68,40.682,239951.478,41.441,222090.624,41.8553,266926.6693
19,20220331,002415.SZ,40.99,41.34,40.64,41.0,41.2,-0.20000000000000284,-0.4854,167408.62,685921.366,0.1831,0.67,40.652,249092.512,41.657,232194.198,42.1267,276436.61
