,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio
0,20220318,002230.SZ,47.4,48.1,46.82,47.38,47.65,-0.269999999999996,-0.5666,141559.65,671595.846,0.6748,0.6
1,20220317,002230.SZ,47.85,48.33,47.3,47.65,46.59,1.0599999999999952,2.2752,261506.68,1253230.822,1.2465,1.24
2,20220316,002230.SZ,46.39,46.7,44.4,46.59,45.4,1.1900000000000048,2.6211,281737.75,1290481.353,1.3429,1.46
3,20220315,002230.SZ,44.9,47.66,43.81,45.4,45.67,-0.2700000000000031,-0.5912,351081.95,1623493.296,1.6735,2.16
4,20220314,002230.SZ,45.75,46.85,45.55,45.67,46.54,-0.8699999999999974,-1.8694,122520.68,566782.529,0.584,0.66
5,20220311,002230.SZ,45.52,46.68,44.77,46.54,47.0,-0.46000000000000085,-0.9787,159040.37,727984.263,0.7581,0.91
6,20220310,002230.SZ,47.41,47.61,46.81,47.0,46.65,0.3500000000000014,0.7503,137209.36,647312.537,0.654,0.8
7,20220309,002230.SZ,46.78,47.27,44.3,46.65,46.5,0.14999999999999858,0.3226,195219.15,895744.683,0.9305,1.26
8,20220308,002230.SZ,46.85,47.97,46.4,46.5,46.42,0.0799999999999983,0.1723,199648.18,942264.952,0.9516,1.33
9,20220307,002230.SZ,49.0,49.0,46.26,46.42,49.41,-2.989999999999995,-6.0514,233074.01,1101049.908,1.111,1.84
10,20220304,002230.SZ,48.5,49.54,48.5,49.41,49.0,0.4099999999999966,0.8367,110354.17,541766.568,0.526,0.85
11,20220303,002230.SZ,50.0,50.15,48.9,49.0,50.0,-1.0,-2.0,115134.01,568081.497,0.5488,0.78
12,20220302,002230.SZ,49.64,50.65,49.55,50.0,49.9,0.10000000000000142,0.2004,117250.56,586249.981,0.5589,0.76
13,20220301,002230.SZ,49.0,50.2,48.74,49.9,48.99,0.9099999999999966,1.8575,173433.69,860928.648,0.8267,1.14
14,20220228,002230.SZ,49.25,49.35,48.3,48.99,49.29,-0.29999999999999716,-0.6086,116532.17,569690.733,0.5555,0.7
15,20220225,002230.SZ,49.94,50.72,48.96,49.29,49.3,-0.00999999999999801,-0.0203,127000.83,629932.348,0.6054,0.62
16,20220224,002230.SZ,49.9,50.13,48.3,49.3,50.35,-1.0500000000000043,-2.0854,205389.07,1012914.212,0.979,1.06
17,20220223,002230.SZ,50.2,50.7,49.8,50.35,50.18,0.1700000000000017,0.3388,147886.99,742278.23,0.7049,0.73
18,20220222,002230.SZ,50.44,50.45,49.56,50.18,50.77,-0.5900000000000034,-1.1621,165597.25,827815.925,0.7893,0.79
19,20220221,002230.SZ,51.1,51.49,50.42,50.77,50.94,-0.1699999999999946,-0.3337,186205.0,948593.981,0.8876,0.77
20,20220218,002230.SZ,49.0,51.09,48.81,50.94,49.33,1.6099999999999994,3.2637,311732.07,1578838.209,1.4859,1.37
21,20220217,002230.SZ,49.4,49.8,48.68,49.33,49.51,-0.17999999999999972,-0.3636,161548.51,796905.669,0.77,0.67
22,20220216,002230.SZ,49.33,49.84,49.08,49.51,49.15,0.35999999999999943,0.7325,183684.31,909404.493,0.883,0.74
23,20220215,002230.SZ,49.12,50.07,48.75,49.15,49.15,0.0,0.0,199781.09,984949.725,0.9603,0.81
24,20220214,002230.SZ,47.2,49.5,46.45,49.15,47.2,1.9499999999999957,4.1314,345446.2,1679286.902,1.6605,1.54
25,20220211,002230.SZ,46.29,47.6,45.9,47.2,46.6,0.6000000000000014,1.2876,248512.34,1170597.952,1.1946,1.11
26,20220210,002230.SZ,46.15,47.13,46.08,46.6,46.08,0.5200000000000031,1.1285,228991.82,1068804.07,1.1008,1.0
